epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,368.934,0.85708,0.94062,0.2469,0.7744,0.61177,0.69935,0.28541,0.67081,0.54729,0.09763,4.99478e-06,4.99478e-06,0.000955047
2,718.755,0.6372,0.50902,0.10486,0.82166,0.77228,0.80691,0.35122,0.62147,0.4974,0.08265,9.99475e-06,9.99475e-06,0.000910047
3,1069.32,0.62009,0.48046,0.10009,0.87667,0.81188,0.85375,0.38953,0.59721,0.47388,0.08163,1.49946e-05,1.49946e-05,0.000865047
4,1419.23,0.60221,0.46996,0.09606,0.8809,0.82993,0.86356,0.38864,0.60999,0.46033,0.08423,1.99943e-05,1.99943e-05,0.000820047
5,1772.81,0.59138,0.46588,0.09271,0.88473,0.83595,0.85781,0.37355,0.62392,0.44848,0.08366,2.49938e-05,2.49938e-05,0.000775046
6,2127.25,0.5792,0.45416,0.08994,0.89952,0.8568,0.87648,0.39727,0.60198,0.44765,0.08014,2.99929e-05,2.99929e-05,0.000730045
7,2481.76,0.57697,0.45041,0.08961,0.90426,0.86799,0.89573,0.43686,0.57819,0.43789,0.07631,3.49917e-05,3.49917e-05,0.000685044
8,2833.94,0.56185,0.44954,0.08655,0.90468,0.88449,0.89591,0.41208,0.5947,0.4399,0.07851,3.999e-05,3.999e-05,0.000640042
9,3175.72,0.55308,0.44604,0.08293,0.90808,0.8803,0.90292,0.40693,0.59311,0.43952,0.07828,4.49877e-05,4.49877e-05,0.00059504
10,3528.29,0.54774,0.44639,0.08206,0.89753,0.89611,0.90284,0.43273,0.5766,0.43833,0.07591,4.99849e-05,4.99849e-05,0.000550037
11,3871,0.53685,0.44091,0.07966,0.89472,0.86469,0.8803,0.41143,0.58533,0.44137,0.07736,5.49813e-05,5.49813e-05,0.000505034
12,4216.92,0.53322,0.44121,0.07937,0.89257,0.87743,0.88482,0.41562,0.59161,0.43585,0.07934,5.9977e-05,5.9977e-05,0.000460029
13,4559.85,0.52498,0.44095,0.07801,0.88744,0.88465,0.89434,0.41663,0.5865,0.43409,0.07764,6.49719e-05,6.49719e-05,0.000415024
14,4897.72,0.52307,0.43541,0.07754,0.89604,0.89109,0.89488,0.40495,0.59139,0.4308,0.07824,6.99659e-05,6.99659e-05,0.000370018
15,5232.3,0.51535,0.43485,0.07468,0.91214,0.85479,0.89388,0.42782,0.56808,0.43612,0.07593,7.49589e-05,7.49589e-05,0.000325011
16,5567.61,0.51027,0.4339,0.07435,0.89654,0.89439,0.89769,0.4324,0.5692,0.43542,0.07615,7.99508e-05,7.99508e-05,0.000280003
17,5904.01,0.50698,0.42929,0.07346,0.90136,0.87789,0.88266,0.4113,0.5811,0.4368,0.07871,8.49416e-05,8.49416e-05,0.000234994
18,6239.69,0.50293,0.43039,0.07272,0.87369,0.87459,0.87068,0.40166,0.59227,0.43357,0.0802,8.99313e-05,8.99313e-05,0.000189984
19,6574.76,0.50288,0.42767,0.07318,0.9032,0.90759,0.91806,0.43448,0.56404,0.43264,0.07446,9.49196e-05,9.49196e-05,0.000144972
20,1812.44,0.49763,0.42467,0.07279,0.87555,0.88232,0.89177,0.41746,0.5806,0.42991,0.07904,9.99066e-05,9.99066e-05,9.99589e-05
21,2143.28,0.48818,0.4224,0.07052,0.88298,0.89647,0.89796,0.43188,0.56914,0.43581,0.07659,9.99023e-05,9.99023e-05,9.99023e-05
22,2478.17,0.4869,0.42557,0.06986,0.8998,0.90429,0.91708,0.44818,0.55797,0.42749,0.07618,9.98923e-05,9.98923e-05,9.98923e-05
23,2819.19,0.48317,0.4227,0.06874,0.89667,0.88783,0.90751,0.44305,0.56179,0.42668,0.07797,9.98818e-05,9.98818e-05,9.98818e-05
24,3147.04,0.48315,0.42133,0.06954,0.89973,0.88846,0.89995,0.44233,0.56703,0.42236,0.07962,9.98708e-05,9.98708e-05,9.98708e-05
25,325.541,0.47047,0.41344,0.0675,0.90213,0.88227,0.89742,0.42722,0.57258,0.4285,0.08098,9.98594e-05,9.98594e-05,9.98594e-05
26,658.156,0.46252,0.41181,0.06507,0.89351,0.89439,0.89903,0.41691,0.57517,0.42796,0.07967,9.98474e-05,9.98474e-05,9.98474e-05
27,989.231,0.46404,0.41559,0.06505,0.93042,0.88265,0.91205,0.45039,0.55197,0.42876,0.07458,9.9835e-05,9.9835e-05,9.9835e-05
28,1327.01,0.45821,0.41278,0.06386,0.89728,0.89374,0.90905,0.43789,0.55953,0.42672,0.0776,9.9822e-05,9.9822e-05,9.9822e-05
29,1659.44,0.461,0.41238,0.0647,0.92284,0.91089,0.91908,0.43269,0.56178,0.42581,0.07733,9.98086e-05,9.98086e-05,9.98086e-05
30,1996.42,0.46981,0.41392,0.06568,0.91575,0.87789,0.90257,0.43898,0.56637,0.42366,0.07797,9.97947e-05,9.97947e-05,9.97947e-05
31,2329.96,0.46826,0.41457,0.06637,0.92152,0.87789,0.90763,0.44157,0.55042,0.43359,0.07272,9.97803e-05,9.97803e-05,9.97803e-05
32,2667.13,0.46062,0.41219,0.06458,0.89668,0.90429,0.9006,0.43166,0.5573,0.43419,0.07472,9.97654e-05,9.97654e-05,9.97654e-05
33,3005.12,0.45988,0.41069,0.06412,0.90092,0.90024,0.89494,0.43137,0.56724,0.42743,0.07825,9.97501e-05,9.97501e-05,9.97501e-05
34,3343,0.45392,0.4106,0.0632,0.91858,0.89358,0.90437,0.43433,0.55697,0.43638,0.07428,9.97342e-05,9.97342e-05,9.97342e-05
35,3681.19,0.4484,0.40855,0.06215,0.91173,0.88635,0.9057,0.43092,0.57017,0.42568,0.07887,9.97179e-05,9.97179e-05,9.97179e-05
36,2340.91,0.43763,0.40266,0.06045,0.90939,0.87129,0.8939,0.4271,0.56881,0.42974,0.0796,9.97011e-05,9.97011e-05,9.97011e-05
37,2685.02,0.43074,0.40068,0.05952,0.91907,0.88449,0.90115,0.43805,0.57123,0.43456,0.07929,9.96838e-05,9.96838e-05,9.96838e-05
38,3027.04,0.434,0.40303,0.05912,0.93033,0.88146,0.90167,0.43349,0.56093,0.43749,0.07359,9.9666e-05,9.9666e-05,9.9666e-05
39,3367.84,0.42692,0.402,0.05795,0.91904,0.89919,0.91074,0.43099,0.5679,0.43366,0.07902,9.96477e-05,9.96477e-05,9.96477e-05
40,3708.28,0.43123,0.39976,0.05931,0.92088,0.89109,0.91204,0.43228,0.56114,0.43341,0.0774,9.96289e-05,9.96289e-05,9.96289e-05
41,4052,0.43134,0.40004,0.05882,0.91547,0.90099,0.89809,0.422,0.57058,0.4322,0.07777,9.96097e-05,9.96097e-05,9.96097e-05
42,4395.58,0.43251,0.40106,0.05981,0.92148,0.89086,0.89589,0.42742,0.5628,0.43086,0.07697,9.95899e-05,9.95899e-05,9.95899e-05
43,4735.81,0.43029,0.40151,0.05919,0.91448,0.89439,0.89982,0.42201,0.56352,0.43632,0.07573,9.95697e-05,9.95697e-05,9.95697e-05
44,5075.53,0.42507,0.39849,0.05763,0.90852,0.89109,0.8947,0.422,0.56759,0.43497,0.07755,9.9549e-05,9.9549e-05,9.9549e-05
45,5416.45,0.42025,0.39818,0.05678,0.92484,0.89347,0.90291,0.43398,0.56244,0.43805,0.07549,9.95278e-05,9.95278e-05,9.95278e-05
46,5755.71,0.42113,0.3969,0.05725,0.92734,0.89109,0.90151,0.42679,0.56438,0.43623,0.07747,9.95062e-05,9.95062e-05,9.95062e-05
47,6093.34,0.44051,0.40321,0.06049,0.92512,0.89704,0.8877,0.43483,0.56154,0.43124,0.07509,9.9484e-05,9.9484e-05,9.9484e-05
48,6434.15,0.43119,0.40326,0.05949,0.91732,0.88779,0.87825,0.4215,0.56972,0.43836,0.0774,9.94614e-05,9.94614e-05,9.94614e-05
49,6775.37,0.43737,0.40212,0.06038,0.91438,0.90099,0.90417,0.4314,0.56073,0.43899,0.07666,9.94383e-05,9.94383e-05,9.94383e-05
50,7115.17,0.42753,0.39976,0.05752,0.91887,0.89109,0.89483,0.43071,0.56542,0.43882,0.07694,9.94147e-05,9.94147e-05,9.94147e-05
51,7459,0.42959,0.401,0.05897,0.92162,0.8926,0.90365,0.4255,0.5671,0.43971,0.07672,9.93906e-05,9.93906e-05,9.93906e-05
52,7800.91,0.42491,0.39954,0.05797,0.91513,0.89109,0.88385,0.41407,0.57082,0.44596,0.07735,9.9366e-05,9.9366e-05,9.9366e-05
53,8140.64,0.42756,0.40077,0.05876,0.92613,0.87789,0.88363,0.41486,0.57909,0.44298,0.0794,9.9341e-05,9.9341e-05,9.9341e-05
